DIA,LINEA,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
18/09/2023,LÍNEA 2,200,922,"1,092","1,134",933,"1,050","1,075","1,180","1,226","1,135","1,260","1,552","2,008","2,257","1,806","1,204",881,525,193,,"21,633"
18/09/2023,LÍNEA A,"17,029","48,520","64,216","52,359","32,281","27,868","25,061","25,977","28,852","28,117","34,143","36,390","60,078","82,155","55,825","31,831","21,426","16,387","8,405",113,"697,033"
18/09/2023,LÍNEA B,"3,315","7,909","9,284","8,104","4,974","4,548","3,936","4,138","4,724","4,309","4,419","5,297","7,290","10,310","6,786","3,876","3,104","2,313","1,672",22,"100,330"
18/09/2023,LÍNEA H,251,574,420,256,162,117,113,162,111,71,79,75,83,69,39,30,38,13,8,4,"2,675"
18/09/2023,LÍNEA J,"1,479","2,481","2,305","2,028","1,400",978,798,814,876,674,567,519,657,620,428,339,300,121,44,6,"17,434"
18/09/2023,LÍNEA K,"2,474","2,777","2,649","2,142","1,681","1,352","1,173","1,199","1,468","1,068",875,841,"1,016",965,766,537,524,281,108,,"23,896"
18/09/2023,LÍNEA M,327,915,869,601,391,277,301,359,440,292,378,467,634,971,"1,060",938,452,354,258,95,"10,379"
18/09/2023,LÍNEA O,273,"1,411","1,549","1,664",959,"1,060",839,824,874,835,842,"1,001","1,301","1,647","1,324","1,045",773,825,202,5,"19,253"
18/09/2023,LÍNEA P,"1,377","3,279","2,978","2,185","1,252",999,747,"1,017","1,202",714,708,789,862,"1,057",703,414,557,415,120,87,"21,462"
18/09/2023,LÍNEA T-A,"1,376","4,151","4,700","4,365","2,813","2,445","2,300","2,474","3,110","2,518","2,665","3,141","4,183","5,224","5,177","3,405","2,461","1,912","1,071",88,"59,579"
19/09/2023,LÍNEA 1,"3,085","9,196","11,250","10,619","6,444","5,746","4,564","4,951","5,261","5,214","5,548","6,040","9,058","11,341","8,212","5,039","3,731","2,781","1,396",,"119,476"
19/09/2023,LÍNEA 2,203,993,"1,153","1,188",951,942,"1,029","1,192","1,222","1,016","1,272","1,467","2,046","2,306","1,958","1,235","1,016",552,234,21,"21,996"
19/09/2023,LÍNEA A,"17,045","50,446","65,195","54,658","33,427","28,621","25,131","26,360","29,795","29,088","33,758","36,830","62,805","84,286","57,195","32,595","22,384","17,970","8,767",3,"716,359"
19/09/2023,LÍNEA B,"3,176","8,385","9,517","8,293","5,212","4,561","3,878","4,340","5,071","4,394","4,528","5,500","7,465","10,715","6,897","4,124","3,569","2,581","1,126",57,"103,389"
19/09/2023,LÍNEA H,250,588,460,283,157,100,92,134,126,100,56,53,95,53,41,34,38,24,8,12,"2,704"
19/09/2023,LÍNEA J,"1,472","2,483","2,324","2,104","1,403",947,785,852,960,650,565,545,693,663,485,327,344,133,32,2,"17,769"
19/09/2023,LÍNEA K,"2,449","2,893","2,646","2,302","1,777","1,356","1,074","1,176","1,534","1,007",878,871,"1,201","1,124",724,532,527,290,96,2,"24,459"
19/09/2023,LÍNEA L,,,,,,152,125,116,116,144,118,157,158,119,,,,,,,"1,205"
19/09/2023,LÍNEA M,377,973,911,663,396,311,316,303,428,322,387,452,683,"1,041","1,108",930,499,374,301,48,"10,823"
19/09/2023,LÍNEA O,261,"1,697","1,729","1,868","1,032","1,159",797,"1,041","1,022","1,061",997,"1,174","1,507","1,745",846,925,958,913,260,6,"20,998"
19/09/2023,LÍNEA P,"1,455","3,253","3,161","2,269","1,250",956,786,970,"1,253",787,666,810,946,"1,196",674,440,616,385,127,59,"22,059"
19/09/2023,LÍNEA T-A,"1,359","4,702","5,155","4,777","3,173","2,591","2,459","2,648","3,270","2,618","2,703","3,333","4,568","5,545","5,107","3,447","2,520","2,080","1,109",68,"63,232"
20/09/2023,LÍNEA 1,"3,060","9,255","11,413","10,543","6,544","5,608","4,568","4,962","5,402","5,224","5,569","6,325","8,972","11,192","8,333","5,258","3,613","2,836","1,595",,"120,272"
20/09/2023,LÍNEA 2,200,946,"1,117","1,225",891,"1,054","1,039","1,122","1,172","1,119","1,203","1,463","1,967","2,225","2,006","1,319","1,040",618,264,16,"22,006"
20/09/2023,LÍNEA A,"16,804","50,547","64,600","55,280","32,846","28,611","24,396","26,246","30,013","29,013","34,058","37,347","62,901","83,068","59,923","33,783","23,214","18,323","9,474",3,"720,450"
20/09/2023,LÍNEA B,"3,233","8,360","9,337","8,266","5,284","4,634","4,005","4,190","5,049","4,765","4,538","5,466","7,779","10,570","7,627","4,342","3,585","2,800","3,358",79,"107,267"
20/09/2023,LÍNEA H,240,591,414,279,162,114,98,138,122,79,99,65,87,53,44,35,32,16,5,15,"2,688"
20/09/2023,LÍNEA J,"1,496","2,489","2,384","2,076","1,406",978,832,805,908,668,550,596,755,657,502,340,323,132,37,,"17,934"
20/09/2023,LÍNEA K,"2,481","2,823","2,778","2,136","1,657","1,365","1,027","1,187","1,487","1,101",889,908,"1,174","1,114",935,624,541,309,104,,"24,640"
20/09/2023,LÍNEA L,,,,,7,81,120,124,114,124,96,135,136,129,,,,,,,"1,066"
20/09/2023,LÍNEA M,376,964,931,641,398,341,296,336,429,319,328,510,697,929,"1,173",928,479,407,322,45,"10,849"
20/09/2023,LÍNEA O,276,"1,645","1,711","1,919",970,"1,237",884,"1,064",944,959,917,"1,070","1,535","1,915","1,367","1,040",894,867,328,1,"21,543"
20/09/2023,LÍNEA P,"1,449","3,382","3,113","2,275","1,225",914,807,965,"1,175",837,683,765,"1,027","1,060",731,437,672,370,154,59,"22,100"
20/09/2023,LÍNEA T-A,"1,443","4,698","5,109","4,844","3,140","2,713","2,314","2,769","3,177","2,769","2,685","3,404","4,451","5,442","5,371","3,552","2,595","2,093","1,303",43,"63,915"
21/09/2023,LÍNEA 1,"3,008","8,902","11,235","10,222","6,684","5,695","4,607","5,019","5,230","5,003","5,660","6,314","8,856","11,145","8,000","5,362","3,758","2,981","1,647",3,"119,331"
21/09/2023,LÍNEA 2,204,947,"1,058","1,153",965,906,17,352,"1,063","1,083","1,285","1,409","2,056","2,156","1,966","1,270","1,037",558,249,6,"19,740"
21/09/2023,LÍNEA A,"16,805","49,031","63,169","53,955","33,434","28,776","25,405","27,289","29,509","28,610","33,319","36,562","61,731","81,876","57,262","33,110","23,589","18,517","10,013",,"711,962"
21/09/2023,LÍNEA B,"3,202","8,206","9,229","8,013","5,390","4,799","4,103","4,204","4,710","4,499","4,679","5,512","7,542","10,530","7,284","4,282","3,654","2,952","1,355",117,"104,262"
21/09/2023,LÍNEA H,243,551,461,278,169,81,120,108,117,82,66,75,80,79,48,26,26,6,4,17,"2,637"
21/09/2023,LÍNEA J,"1,471","2,526","2,309","2,059","1,423",994,864,811,872,670,544,554,648,695,457,362,296,156,36,1,"17,748"
21/09/2023,LÍNEA K,"2,433","2,746","2,715","2,265","1,718","1,335","1,137","1,209","1,345","1,073",846,793,"1,098","1,076",771,531,556,312,99,1,"24,059"
21/09/2023,LÍNEA L,,,,,17,101,77,166,116,132,107,70,125,115,,,,,,,"1,026"
21/09/2023,LÍNEA M,374,919,884,615,427,330,300,274,330,305,301,458,670,"1,016","1,057",947,506,374,246,93,"10,426"
21/09/2023,LÍNEA O,290,"1,565","1,714","1,848","1,058","1,237",810,"1,017","1,031",992,900,"1,108","1,432","1,696","1,336","1,047",855,935,311,5,"21,187"
21/09/2023,LÍNEA P,"1,402","3,369","3,053","2,267","1,296",973,802,893,"1,062",871,729,748,912,924,726,483,630,417,141,81,"21,779"
21/09/2023,LÍNEA T-A,"1,399","4,380","4,946","4,750","3,073","2,718","2,140","2,481","3,011","2,393","2,226","3,186","4,380","5,363","4,970","3,446","2,594","2,036","1,262",55,"60,809"
22/09/2023,LÍNEA 1,"3,072","8,633","11,085","9,888","6,567","5,658","4,694","4,883","5,327","5,217","5,781","7,114","9,098","10,118","7,643","5,219","3,565","2,772","1,647",,"117,981"
22/09/2023,LÍNEA 2,201,880,"1,113","1,108",951,931,982,"1,086","1,160","1,004","1,311","1,600","2,091","2,113","1,846","1,316",806,637,248,29,"21,413"
22/09/2023,LÍNEA A,"16,647","47,609","62,179","51,851","33,482","27,958","24,651","26,005","29,416","29,152","36,798","44,698","65,336","74,304","46,583","23,737","16,028","13,585","7,739",,"677,758"
22/09/2023,LÍNEA B,"3,177","7,818","9,272","8,007","5,341","4,645","4,204","4,193","4,911","4,519","4,953","6,099","8,015","9,718","5,226","1,470","1,036",696,373,125,"93,798"
22/09/2023,LÍNEA H,237,603,438,260,170,110,122,138,180,115,68,87,96,71,49,34,13,8,5,21,"2,825"
22/09/2023,LÍNEA J,"1,347","2,506","2,325","2,078","1,425",989,848,795,"1,007",743,572,592,857,633,508,435,101,126,48,4,"17,939"
22/09/2023,LÍNEA K,"2,489","2,769","2,753","2,350","1,787","1,386","1,088","1,261","1,479","1,049",929,990,"1,228","1,240",749,305,325,295,112,,"24,584"
22/09/2023,LÍNEA L,,,,,,127,132,133,141,131,113,132,145,159,,,,,,,"1,213"
22/09/2023,LÍNEA M,348,984,926,656,407,290,306,352,402,318,367,461,766,"1,053",781,417,170,194,160,41,"9,399"
22/09/2023,LÍNEA O,303,"1,464","1,572","1,873","1,092","1,137",858,991,932,907,"1,002","1,082","1,292","1,484","1,088",976,706,750,327,5,"19,841"
22/09/2023,LÍNEA P,"1,387","3,285","3,170","2,234","1,276",979,797,893,"1,127",796,839,797,972,965,763,367,7,4,1,107,"20,766"
22/09/2023,LÍNEA T-A,"1,394","4,343","5,029","4,426","3,147","2,699","2,451","2,678","3,260","2,707","2,792","3,586","4,545","5,284","4,272","2,432","1,705","1,501","1,080",44,"59,375"
23/09/2023,LÍNEA 1,"2,286","5,055","6,284","6,716","5,273","4,535","4,306","4,847","6,563","6,868","6,092","5,690","5,194","4,930","4,632","3,656","2,983","2,659","1,435",,"90,004"
23/09/2023,LÍNEA 2,130,589,678,818,697,771,849,"1,060","1,424","1,427","1,279","1,218","1,254","1,110","1,075",880,619,518,202,11,"16,609"
23/09/2023,LÍNEA A,"8,084","19,632","25,915","27,667","21,943","20,603","21,009","22,503","28,435","34,881","39,415","35,504","34,753","32,527","30,152","23,808","17,577","15,731","8,485",4,"468,628"
23/09/2023,LÍNEA B,545,"1,238","2,407","3,175","2,898","2,864","3,233","2,715","2,247","3,339","5,563","5,416","4,874","4,745","4,105","3,061","2,599","2,231","1,283",,"58,538"
23/09/2023,LÍNEA H,100,187,181,118,84,60,78,59,58,76,69,84,106,64,53,54,47,35,9,,"1,522"
23/09/2023,LÍNEA J,"1,110","1,803","1,886","1,686","1,285","1,013",905,877,936,699,729,739,670,690,623,507,410,239,124,,"16,931"
23/09/2023,LÍNEA K,"2,022","2,706","2,676","2,090","1,602","1,379","1,176","1,283","1,329","1,189","1,091","1,083","1,245","1,143",974,806,700,116,199,,"24,809"
23/09/2023,LÍNEA L,,,,,,244,190,233,180,185,185,230,228,252,,,,,,,"1,927"
23/09/2023,LÍNEA M,134,336,354,315,204,168,192,194,253,392,710,658,592,583,641,492,413,418,268,,"7,317"
23/09/2023,LÍNEA O,218,823,897,"1,179",730,729,680,818,944,935,773,696,706,662,575,473,475,444,213,,"12,970"
23/09/2023,LÍNEA P,945,"2,009","1,827","1,637","1,102",870,757,801,866,767,750,792,755,653,631,525,487,28,316,,"16,518"
23/09/2023,LÍNEA T-A,456,"1,636","1,967","2,382","1,797","1,753","1,774","2,001","2,437","3,197","3,500","3,405","3,456","2,954","2,859","2,336","1,859","1,679","1,168",,"42,616"
24/09/2023,LÍNEA 1,515,"1,730","2,049","2,183","2,017","2,501","2,847","2,687","2,798","3,098","3,373","2,998","2,918","3,092","3,054","2,496","2,272","1,713",217,,"44,558"
24/09/2023,LÍNEA 2,6,244,199,247,270,288,470,425,498,547,518,372,462,531,483,407,347,180,25,,"6,519"
24/09/2023,LÍNEA A,"3,953","11,098","13,012","11,224","10,951","12,204","13,455","13,712","15,441","16,864","18,866","17,706","18,991","20,178","19,698","15,760","15,288","11,101",804,,"260,306"
24/09/2023,LÍNEA B,703,"1,766","1,983","1,900","1,901","2,363","2,616","2,948","3,213","3,032","3,288","3,065","2,877","2,906","2,997","2,312","1,972","1,446",144,75,"43,507"
24/09/2023,LÍNEA H,,,,,5,100,123,90,85,75,81,39,64,101,90,68,55,16,,8,"1,000"
24/09/2023,LÍNEA J,,,,,6,956,726,677,708,665,624,578,434,714,696,560,429,233,4,6,"8,016"
24/09/2023,LÍNEA K,,,,,614,"1,112","1,034",992,"1,182","1,223","1,102",779,880,"1,551","1,017",772,707,382,35,1,"13,383"
24/09/2023,LÍNEA L,,,,,108,256,348,439,349,403,360,288,436,358,,,,,,16,"3,361"
24/09/2023,LÍNEA M,,,,,,342,249,296,325,350,402,289,303,391,431,432,376,291,100,2,"4,579"
24/09/2023,LÍNEA O,31,300,426,374,301,292,390,466,427,329,430,404,335,455,399,391,439,298,51,52,"6,590"
24/09/2023,LÍNEA P,,,,,43,690,597,644,657,609,646,480,360,527,540,548,483,264,27,47,"7,162"
24/09/2023,LÍNEA T-A,190,774,996,988,"1,030","1,416","1,515","1,514","1,614","1,672","1,943","1,625","1,783","1,937","1,892","1,771","1,531","1,264",241,,"25,696"
25/09/2023,LÍNEA 1,"3,052","8,675","10,913","9,844","6,322","5,283","4,257","4,387","4,977","4,923","5,490","5,855","8,778","10,992","7,736","4,744","3,193","2,590","1,400",5,"113,416"
25/09/2023,LÍNEA 2,185,933,"1,015","1,111",958,"1,010","1,014","1,159","1,209","1,129","1,324","1,491","2,097","2,311","1,792","1,222",833,545,193,2,"21,533"
25/09/2023,LÍNEA A,"17,164","48,411","63,692","52,469","32,418","27,135","24,178","24,686","28,370","27,611","33,724","35,884","61,321","81,062","55,567","30,947","20,501","16,762","8,542",80,"690,524"
25/09/2023,LÍNEA B,"3,208","8,070","9,283","7,973","5,055","4,571","3,768","4,076","4,881","4,457","4,432","5,132","7,641","10,148","6,757","3,829","3,036","2,374","2,295",12,"100,998"
25/09/2023,LÍNEA H,267,602,443,274,172,124,112,133,98,85,64,67,97,56,41,36,24,13,1,1,"2,710"
25/09/2023,LÍNEA J,"1,507","2,512","2,360","2,005","1,320",966,754,798,922,697,584,584,642,603,460,335,314,140,43,1,"17,547"
25/09/2023,LÍNEA K,"2,499","2,793","2,705","2,165","1,739","1,356","1,048","1,168","1,396","1,042",765,768,"1,042",999,750,554,597,249,97,,"23,732"
25/09/2023,LÍNEA M,382,946,904,628,394,299,271,327,431,317,357,517,698,889,725,904,481,421,280,46,"10,217"
25/09/2023,LÍNEA O,270,"1,407","1,617","1,620",943,992,807,834,917,898,768,"1,004","1,375","1,583","1,352","1,016",775,826,284,3,"19,291"
25/09/2023,LÍNEA P,"1,496","3,272","3,107","2,192","1,229",943,728,739,"1,007",674,576,666,831,972,595,368,415,205,115,43,"20,173"
25/09/2023,LÍNEA T-A,"1,422","4,124","4,736","4,495","2,983","2,359","2,176","2,447","3,011","2,471","2,603","3,093","4,140","4,893","3,412","3,292","2,336","1,747","1,089",41,"56,870"
26/09/2023,LÍNEA 1,"3,086","8,885","11,270","10,456","6,745","5,724","4,466","4,706","5,127","5,126","5,404","6,087","8,862","11,140","8,198","5,215","3,457","2,560","1,474",,"117,988"
26/09/2023,LÍNEA 2,185,988,"1,122","1,206",981,"1,015","1,024","1,138","1,253","1,093","1,205","1,489","1,959","2,262","1,977","1,261",978,540,192,8,"21,876"
26/09/2023,LÍNEA A,"16,874","50,057","63,359","56,197","34,100","28,681","23,952","25,914","29,426","28,942","33,889","37,167","60,725","83,493","58,464","33,108","22,905","17,773","8,887",1,"713,914"
26/09/2023,LÍNEA B,"3,196","8,107","9,444","5,013","5,399","4,648","3,843","4,053","5,076","4,372","4,536","5,533","7,621","10,663","7,397","4,261","3,554","2,549","1,108",68,"100,441"
26/09/2023,LÍNEA H,249,577,453,282,170,107,99,136,121,71,65,84,82,56,32,28,42,13,7,22,"2,696"
26/09/2023,LÍNEA J,"1,505","2,494","2,376","1,827","1,317",931,779,784,942,631,559,535,674,647,454,330,291,179,47,2,"17,304"
26/09/2023,LÍNEA K,"2,459","2,819","2,739","2,286","1,848","1,301","1,078","1,142","1,368","1,098",704,825,"1,152","1,048",748,520,527,269,75,4,"24,010"
26/09/2023,LÍNEA L,,,,,3,59,93,108,150,79,126,140,141,128,,,,,,,"1,027"
26/09/2023,LÍNEA M,393,954,943,622,407,300,290,309,464,318,376,535,656,918,"1,140",966,488,383,300,27,"10,789"
26/09/2023,LÍNEA O,310,"1,606","1,841","2,050","1,268","1,218",901,"1,023","1,032","1,165",969,"1,099","1,444","2,025","1,451","1,191",850,939,282,7,"22,671"
26/09/2023,LÍNEA P,"1,367","3,315","3,096","2,339","1,287",948,717,813,"1,024",721,580,674,779,865,574,384,419,248,122,40,"20,312"
26/09/2023,LÍNEA T-A,"1,416","4,555","5,073","4,481","3,284","2,722","2,277","2,638","3,279","2,563","2,758","3,229","4,232","5,359","4,936","3,620","2,537","2,041","1,089",57,"62,146"
27/09/2023,LÍNEA 1,"2,988","8,928","11,363","10,360","6,612","5,577","4,317","4,543","5,027","4,991","5,463","6,229","8,575","11,026","8,120","4,962","3,632","2,608","1,536",1,"116,858"
27/09/2023,LÍNEA 2,201,951,"1,089","1,192",930,911,562,,272,"1,028","1,155","1,458","1,921","2,271","1,787","1,186","1,009",517,261,14,"18,715"
27/09/2023,LÍNEA A,"18,771","53,012","68,583","57,582","35,390","30,336","24,957","26,695","30,153","33,036","35,347","37,853","60,589","81,778","60,179","35,883","25,043","19,529","10,271",3,"744,990"
27/09/2023,LÍNEA B,"3,769","9,469","10,416","9,275","5,808","5,299","4,126","4,197","4,970","5,800","5,302","5,430","7,470","10,450","7,876","5,447","4,324","3,282","1,596",95,"114,401"
27/09/2023,LÍNEA H,303,633,476,331,175,126,96,87,126,83,57,66,95,70,31,43,53,21,7,15,"2,894"
27/09/2023,LÍNEA J,"1,489","2,526","2,423","2,049","1,376",953,774,703,870,648,579,560,703,641,456,354,281,153,49,1,"17,588"
27/09/2023,LÍNEA K,"2,476","2,788","2,658","2,258","1,828","1,415","1,102","1,142","1,278","1,018",890,802,"1,099",987,691,525,595,306,110,1,"23,969"
27/09/2023,LÍNEA L,,,,,10,104,76,88,67,108,101,87,122,107,,,,,,,870
27/09/2023,LÍNEA M,449,"1,044","1,056",735,458,358,319,266,377,412,367,539,687,900,"1,149","1,001",589,342,336,43,"11,427"
27/09/2023,LÍNEA O,283,"1,572","1,824","2,000","1,121","1,167",781,983,"1,105","1,108",887,"1,096","1,441","1,751","1,286","1,218",817,893,283,2,"21,618"
27/09/2023,LÍNEA P,"1,476","3,286","3,219","2,307","1,258",951,737,769,953,736,614,677,794,811,543,423,455,209,123,58,"20,399"
27/09/2023,LÍNEA T-A,"1,634","4,810","5,444","5,115","3,427","2,980","2,220","1,821","2,949","2,773","2,791","3,207","4,146","5,405","4,919","3,756","2,704","1,184","1,401",41,"62,727"
28/09/2023,LÍNEA 1,"3,131","9,169","11,406","10,446","6,583","5,428","4,470","4,644","4,876","5,038","5,350","6,091","8,860","11,103","8,020","5,051","3,552","2,670","1,516",,"117,404"
28/09/2023,LÍNEA 2,222,949,"1,126","1,153","1,014",978,945,"1,043","1,110","1,113","1,181","1,438","1,972","2,186","1,794","1,239",995,520,225,17,"21,220"
28/09/2023,LÍNEA A,"19,919","55,966","70,051","57,888","35,286","29,622","24,137","25,380","28,661","34,611","33,637","36,487","60,846","82,121","59,232","38,196","26,927","21,163","11,340",4,"751,474"
28/09/2023,LÍNEA B,"4,369","10,585","11,346","9,202","6,025","5,222","3,992","4,140","4,844","6,192","4,287","5,285","7,697","10,594","8,139","6,320","4,905","3,759","1,994",167,"119,064"
28/09/2023,LÍNEA H,296,679,583,331,195,164,154,131,102,90,60,95,87,87,64,40,31,21,4,33,"3,247"
28/09/2023,LÍNEA J,"1,514","2,535","2,374","2,037","1,299",911,740,780,900,601,455,477,670,665,480,338,297,135,47,2,"17,257"
28/09/2023,LÍNEA K,"2,458","2,791","2,729","2,349","1,742","1,350","1,123","1,077","1,227","1,053",805,830,"1,146","1,001",688,483,567,316,113,1,"23,849"
28/09/2023,LÍNEA L,,,,,,118,66,85,162,80,72,81,104,86,,,,,,,854
28/09/2023,LÍNEA M,472,"1,144","1,068",792,525,374,313,302,431,453,328,485,633,841,"1,263","1,173",581,487,409,34,"12,108"
28/09/2023,LÍNEA O,276,"1,593","1,822","1,987","1,076","1,294",886,929,"1,037","1,012",935,"1,238","1,512","1,721","1,313","1,112",924,919,287,7,"21,880"
28/09/2023,LÍNEA P,"1,493","3,464","3,106","1,844","1,353",973,712,767,"1,056",696,607,614,827,853,585,420,434,230,127,144,"20,305"
28/09/2023,LÍNEA T-A,"1,784","5,188","5,878","5,392","3,547","3,051","2,351","2,587","3,079","3,096","2,657","3,099","4,346","5,126","5,266","3,943","2,951","2,146","1,249",91,"66,827"
29/09/2023,LÍNEA 1,"3,016","8,409","11,063","10,061","6,433","5,436","4,578","4,729","5,079","5,132","5,714","6,770","9,004","9,854","7,665","5,234","3,723","2,991","1,971",,"116,862"
29/09/2023,LÍNEA 2,208,919,"1,127","1,117",990,986,964,"1,091","1,151","1,070","1,425","1,503","1,977","1,958","1,905","1,274",936,673,363,21,"21,658"
29/09/2023,LÍNEA A,"16,716","46,082","61,687","53,584","32,609","28,513","25,759","30,435","41,767","29,381","36,507","42,970","64,076","72,723","55,617","35,424","24,282","20,837","12,502",1,"731,472"
29/09/2023,LÍNEA B,"3,190.00","7,823.00","8,721.00","7,866.00","5,236","4,424","4,551","5,725","8,583","4,441","4,830","5,909","8,037","9,407","7,083.00","4,531.00","3,607.00","2,804.00","1,654.00",,"108,422"
29/09/2023,LÍNEA H,238,571,445,290,162,133,142,153,142,189,68,83,100,75,54,42,44,11,9,,"2,951"
29/09/2023,LÍNEA J,"1,481.00","2,456.00","2,226.00","2,135.00","1,372",966,796,782,934,612,595,633,822,623,534,436,338,191,69,,"18,001"
29/09/2023,LÍNEA K,"2,445.00","2,809.00","2,421.00","2,356.00","1,796","1,431","1,147","1,181","1,338","1,032",940,"1,040","1,213","1,129",796,631,604,374,149,,"24,832"
29/09/2023,LÍNEA L,,,,,1,100,75,94,87,118,127,124,169,146,,,,,,,"1,041"
29/09/2023,LÍNEA M,383,887,893,666,378,299,471,430,620,298,347,493,758,935,"1,010.00",812,557,420,321,,"10,978"
29/09/2023,LÍNEA O,280,"1,444.00","1,716.00","1,940.00","1,095","1,144","1,008","1,012",976,949,986,"1,041","1,427","1,437","1,253.00","1,010.00",809,851,342,,"20,720"
29/09/2023,LÍNEA P,"1,439.00","3,264.00","2,989.00","2,288.00","1,202",902,840,817,988,729,684,810,815,833,603,521,468,275,192,,"20,659"
29/09/2023,LÍNEA T-A,"1,413.00","3,946.00","4,762.00","4,638.00","3,060","2,564","2,827","3,173","3,983","2,634","2,841","3,358","4,361","5,008","4,612.00","3,455.00","2,667.00","2,142.00","1,435.00",,"62,879"
30/09/2023,LÍNEA 1,"2,228.00","5,230.00","6,528.00","7,351.00","5,321","4,919","4,471","4,958","6,503","6,991","6,372","5,652","5,233","4,891","4,516.00","3,691.00","3,004.00","2,555.00","1,440.00",,"91,854"
30/09/2023,LÍNEA 2,148,593,690,870,730,838,969,"1,124","1,407","1,450","1,351","1,260","1,371","1,300","1,239.00",934,645,516,273,,"17,708"
30/09/2023,LÍNEA A,"12,561.00","29,536.00","35,652.00","35,931.00","26,614","23,889","24,556","29,324","43,001","47,721","42,784","38,089","36,725","35,012","32,553.00","25,024.00","19,834.00","16,596.00","9,398.00",,"564,800"
30/09/2023,LÍNEA B,"2,334.00","4,703.00","5,675.00","5,308.00","4,297","4,185","4,240","4,868","5,134","6,420","6,409","5,342","5,098","5,108","4,215.00","3,136.00","4,832.00","2,641.00","1,446.00",,"85,391"
30/09/2023,LÍNEA H,178,389,321,245,168,131,137,118,131,108,92,105,117,81,57,74,44,59,19,,"2,574"
30/09/2023,LÍNEA J,"1,151.00","1,686.00","1,972.00","1,828.00","1,347","1,059",904,895,965,906,820,810,830,809,673,574,497,379,242,,"18,347"
30/09/2023,LÍNEA K,"2,042.00","2,684.00","2,622.00","2,275.00","1,714","1,517","1,343","1,388","1,447","1,329","1,187","1,217","1,467","1,322","1,055.00",924,804,622,344,,"27,303"
30/09/2023,LÍNEA L,,,,,1,209,168,189,192,177,171,254,276,280,,,,,,,"1,917"
30/09/2023,LÍNEA M,284,600,671,594,373,358,342,399,502,608,689,706,687,662,594,559,533,456,328,,"9,945"
30/09/2023,LÍNEA O,203,826,973,"1,206.00",795,814,515,716,"1,152",917,773,720,683,698,595,548,537,439,241,,"13,351"
30/09/2023,LÍNEA P,989,"1,990.00","2,069.00","1,713.00","1,125",979,866,933,"1,032",914,824,814,834,735,747,555,560,439,224,,"18,342"
30/09/2023,LÍNEA T-A,"1,080.00","2,757.00","3,298.00","3,514.00","2,638","2,468","2,440","2,720","3,260","3,764","3,529","3,487","3,284","3,176","2,981.00","2,589.00","2,199.00","1,942.00","1,275.00",,"52,401"
1/10/2023,LÍNEA 1,456,"1,660.00","2,030.00","1,890.00","2,174","2,637","2,825","2,693","2,876","2,925","3,174","2,954","2,998","3,045","3,088.00","2,520.00","2,398.00","1,829.00",249,,"44,421"
1/10/2023,LÍNEA 2,21,181,201,168,229,316,416,424,529,608,493,533,583,526,542,433,433,232,20,,"6,888"
1/10/2023,LÍNEA A,"3,260.00","11,189.00","13,009.00","13,184.00","12,568","14,152","16,484","15,322","15,608","17,595","18,421","18,853","19,874","20,940","20,020.00","16,848.00","15,920.00","12,368.00",908,,"276,523"
1/10/2023,LÍNEA B,689,"1,713.00","2,033.00","2,041.00","1,993","2,418","2,644","2,629","2,905","2,788","3,018","2,968","3,103","3,023","2,999.00","2,365.00","2,025.00","1,635.00",167,,"43,156"
1/10/2023,LÍNEA H,,,,,2,93,95,77,78,79,95,114,103,70,77,57,41,31,1,,"1,013"
1/10/2023,LÍNEA J,,,,,,"1,025",805,740,709,633,648,676,811,705,713,625,478,269,17,,"8,854"
1/10/2023,LÍNEA K,,,,,650,"1,191","1,220","1,206","1,193","1,356","1,235","1,337","1,506","1,493","1,150.00",989,915,465,25,,"15,931"
1/10/2023,LÍNEA L,,,,,110,233,388,364,410,335,361,479,428,423,11,,,,,,"3,542"
1/10/2023,LÍNEA M,,,,,30,322,322,275,314,376,387,416,410,419,480,420,425,338,118,,"5,052"
1/10/2023,LÍNEA O,21,288,308,348,317,322,412,412,394,439,428,428,418,472,459,442,281,368,53,,"6,610"
1/10/2023,LÍNEA P,1,,,,99,720,665,620,706,679,704,745,786,672,859,618,506,356,27,,"8,763"
1/10/2023,LÍNEA T-A,160,751,978,"1,061.00","1,086","1,460","1,648","1,505","1,656","1,800","1,816","1,756","2,051","1,878","1,995.00","1,890.00","1,563.00","1,418.00",278,,"26,750"
2/10/2023,LÍNEA 1,"3,054.00","8,759.00","11,144.00","9,967.00","6,502","5,680","4,613","5,329","5,293","5,220","5,617","6,131","8,538","10,923","8,039.00","4,889.00","3,122.00","2,457.00","1,413.00",,"116,690"
2/10/2023,LÍNEA 2,204,907,"1,100.00","1,135.00",969,"1,040","1,173","1,210","1,215","1,201","1,265","1,649","1,981","2,153","1,975.00","1,313.00",798,554,203,,"22,045"
2/10/2023,LÍNEA A,"16,909.00","48,519.00","63,084.00","52,791.00","32,590","28,020","25,195","26,501","29,587","28,337","34,027","37,186","59,522","82,689","55,759.00","31,824.00","19,662.00","16,529.00","8,680.00",,"697,411"
