DIA,LINEA,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
5/1/2023,LÍNEA T-A,954,"2,325","3,119","2,736","1,964","1,658","1,668","1,789","1,962","1,859","2,199","2,560","2,879","4,147","3,766","2,382","1,732","1,322","1,004",1,"42,026"
6/1/2023,LÍNEA 1,"2,110","5,197","7,325","6,843","4,804","4,315","3,910","3,856","3,888","3,918","4,747","5,237","6,555","7,402","6,169","4,520","3,207","2,834","1,849",40,"88,726"
6/1/2023,LÍNEA 2,102,536,762,821,711,793,841,982,876,852,"1,009","1,291","1,577","1,682","1,311","1,042",673,428,219,19,"16,527"
6/1/2023,LÍNEA A,"11,864","28,911","40,169","34,025","23,481","21,802","21,524","22,609","23,679","23,863","31,266","34,020","47,718","56,565","44,743","30,850","21,617","18,983","12,550",1,"550,240"
6/1/2023,LÍNEA B,"2,199","4,722","6,237","5,452","3,994","3,776","3,804","3,945","4,140","4,184","4,709","5,300","6,670","7,612","6,034","4,164","2,812","2,015","1,324",,"83,093"
6/1/2023,LÍNEA H,144,344,288,216,130,117,121,99,104,77,69,68,84,52,68,49,43,25,20,,"2,118"
6/1/2023,LÍNEA J,895,"1,755","1,893","1,492","1,117",848,723,747,752,701,666,168,822,592,601,461,327,192,71,28,"14,851"
6/1/2023,LÍNEA K,"1,841","2,635","2,528","2,014","1,489","1,320","1,147","1,238","1,363","1,314","1,220","1,320","1,522","1,286","1,019",793,643,354,120,2,"25,168"
6/1/2023,LÍNEA L,,,,,,360,407,622,546,691,616,659,696,277,2,,,,,35,"4,911"
6/1/2023,LÍNEA M,230,548,652,452,306,242,276,282,318,301,315,441,566,688,762,659,485,321,265,33,"8,142"
6/1/2023,LÍNEA O,168,644,973,841,467,442,410,419,463,396,507,562,772,739,720,498,395,479,212,,"10,107"
6/1/2023,LÍNEA P,878,"1,890","2,244","1,583",962,760,751,673,750,660,679,661,767,676,735,609,469,255,111,9,"16,122"
6/1/2023,LÍNEA T-A,934,"2,337","2,987","2,720","2,021","1,759","1,815","1,992","2,030","1,868","2,208","2,626","3,248","3,682","3,596","2,590","1,930","1,502","1,119",,"42,964"
7/1/2023,LÍNEA 1,"1,836","3,820","4,673","5,043","3,945","3,535","3,456","3,745","4,608","4,376","4,731","4,226","4,177","3,937","4,005","3,555","2,875","2,629","1,623",47,"70,842"
7/1/2023,LÍNEA 2,94,397,480,570,513,583,623,817,875,831,803,759,787,813,816,741,496,354,163,16,"11,531"
7/1/2023,LÍNEA A,"10,368","20,947","25,654","24,054","19,599","18,843","19,896","22,881","31,984","30,921","33,373","28,277","28,337","28,537","27,997","24,755","19,671","18,625","11,077",2,"445,798"
7/1/2023,LÍNEA B,"1,904","3,422","4,073","3,958","3,509","3,447","3,706","4,050","4,951","4,786","5,022","4,727","4,730","5,228","4,825","4,040","2,654","1,809",907,3,"71,751"
7/1/2023,LÍNEA H,131,249,223,170,157,128,109,120,95,72,80,75,91,69,87,95,48,23,9,,"2,031"
7/1/2023,LÍNEA J,737,"1,241","1,374","1,361","1,041",793,843,860,920,707,696,662,675,649,859,639,395,184,61,40,"14,737"
7/1/2023,LÍNEA K,"1,491","2,127","2,082","1,829","1,336","1,149","1,073","1,258","1,381","1,187","1,295","1,281","1,180","1,360","1,475","1,189",804,404,121,6,"24,028"
7/1/2023,LÍNEA L,,,,,5,484,514,679,883,686,758,218,813,552,,,,,,65,"5,657"
7/1/2023,LÍNEA M,197,427,515,449,306,254,259,276,423,451,485,563,500,446,464,469,359,334,216,50,"7,443"
7/1/2023,LÍNEA O,143,519,601,611,484,396,400,484,426,150,152,129,191,331,489,405,316,388,164,,"6,779"
7/1/2023,LÍNEA P,745,"1,334","1,390","1,261",827,706,732,667,792,750,768,688,741,659,779,753,585,320,86,9,"14,592"
